北京卫视,#genre#
江苏卫视_2 720,http://221.179.217.75/PLTV/88888888/224/3221225887/1.m3u8
江西卫视_1 576,http://111.13.42.46/PLTV/88888888/224/3221226522/1.m3u8
江西卫视_2 720,http://111.13.42.8/PLTV/88888888/224/3221225888/1.m3u8
河北卫视_1 4M576,http://221.179.136.148/PLTV/88888888/224/3221226409/1.m3u8
河北卫视_2 576,http://221.179.136.151/PLTV/88888888/224/3221225881/1.m3u8
河北卫视 576,http://111.13.42.42/PLTV/88888888/224/3221226536/1.m3u8
河南卫视_1 576,http://111.13.42.8/PLTV/88888888/224/3221225882/1.m3u8
河南卫视_2 576,http://111.13.42.45/PLTV/88888888/224/3221226525/1.m3u8
浙江卫视_1 576,http://111.13.42.46/PLTV/88888888/224/3221226492/1.m3u8
浙江卫视_2 720,http://221.179.217.69/PLTV/88888888/224/3221225903/1.m3u8
海南卫视_1 4M576,http://111.13.42.42/PLTV/88888888/224/3221226427/1.m3u8
海南卫视_2 576,http://221.179.136.151/PLTV/88888888/224/3221225890/1.m3u8
湖北卫视_1 576,http://111.13.42.46/PLTV/88888888/224/3221226520/1.m3u8
湖北卫视_2 720,http://111.13.42.8/PLTV/88888888/224/3221225884/1.m3u8
湖南卫视_1 576,http://221.179.136.148/PLTV/88888888/224/3221226493/1.m3u8
湖南卫视_2 720,http://111.13.42.44/PLTV/88888888/224/3221226162/1.m3u8
甘肃卫视_1 4M576,http://221.179.136.135/PLTV/88888888/224/3221226414/1.m3u8
甘肃卫视_2 576,http://221.179.136.150/PLTV/88888888/224/3221225877/1.m3u8
甘肃卫视_3 576,http://221.179.136.135/PLTV/88888888/224/3221226545/1.m3u8
西藏卫视_1 4M576,http://221.179.136.140/PLTV/88888888/224/3221226428/1.m3u8
